age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target
31,M,Akmola,87989.47,employed,6,828957.91,42,29.39,550672.33,6.2583,3,0,0,consumer,0
18,M,Zhambyl,75226.66,unemployed,0,423952.67,32,17.5,150227.88,1.997,1,0,2,consumer,0
53,M,East Kazakhstan,227138.02,employed,28,1921584.19,38,12.8,521122.72,2.2943,1,0,0,consumer,0
43,M,Nur-Sultan,220925.66,employed,22,1212083.06,35,32.09,214522.3,0.971,0,0,0,consumer,0
42,F,Aktobe,245331.73,employed,17,2142743.73,46,13.99,1209286.85,4.9292,2,3,140,consumer,0
40,F,Karaganda,113084.05,employed,13,2481124.14,61,12.8,382307.16,3.3807,0,2,2,consumer,0
32,F,Shymkent,149216.07,employed,2,1131132.25,37,17.21,857250.0,5.745,0,0,0,consumer,0
34,M,Almaty,146420.98,employed,8,860449.57,20,34.06,117887.52,0.8051,0,2,0,consumer,0
44,M,Aktobe,625914.8,employed,19,7539154.78,68,19.42,1846920.52,2.9507,0,0,1,consumer,0
23,M,Aktobe,94496.84,employed,3,697702.87,51,22.42,147397.84,1.5598,2,0,0,consumer,0
24,M,Nur-Sultan,78150.63,student,1,301865.04,50,41.57,68055.97,0.8708,0,0,0,consumer,0
38,F,Almaty Region,473505.51,employed,11,3357529.31,58,36.69,1212170.77,2.56,0,4,169,consumer,0
29,F,Aktobe,81853.86,self_employed,6,359189.08,17,31.56,206519.88,2.523,0,1,1,consumer,0
27,M,Mangystau,99524.52,employed,0,637907.31,37,33.23,431901.8,4.3396,2,1,1,consumer,0
45,M,Karaganda,83819.82,employed,20,829688.88,53,9.77,608824.06,7.2634,0,1,1,consumer,0
49,F,Karaganda,213613.28,employed,21,2398196.95,54,11.91,1932799.83,9.0481,1,2,0,consumer,0
47,F,Almaty,78545.46,employed,27,1114307.72,69,7.18,433343.35,5.517,3,1,0,consumer,0
23,M,Karaganda,196343.48,employed,2,1300848.53,67,30.49,1060308.95,5.4002,0,0,0,consumer,0
44,F,Mangystau,101894.88,employed,22,751966.27,41,16.4,342338.46,3.3597,0,0,0,consumer,0
43,M,Almaty Region,193566.09,employed,16,3173266.59,66,9.89,2727124.59,14.0888,3,1,2,auto,0
34,M,West Kazakhstan,163370.59,employed,15,1609794.64,53,27.66,600637.72,3.6765,3,0,0,consumer,0
41,F,Karaganda,218484.83,unemployed,14,2492208.62,44,18.28,1837650.53,8.4108,0,0,0,consumer,0
27,M,Akmola,474540.56,employed,4,2530277.93,22,23.22,1376573.04,2.9008,1,0,2,consumer,0
32,F,East Kazakhstan,115023.8,employed,6,651411.31,19,13.49,407632.1,3.5439,4,0,2,consumer,0
34,F,Almaty,312709.85,self_employed,9,1731689.71,24,28.36,616303.28,1.9708,4,1,0,consumer,0
49,F,Almaty Region,122283.62,retired,30,449651.47,16,26.53,132843.44,1.0863,1,2,0,consumer,0
35,F,Shymkent,334798.48,employed,5,4132984.94,58,13.81,3522421.07,10.521,1,0,2,auto,0
36,M,Kyzylorda,549770.16,employed,12,2362822.39,26,34.09,1743268.96,3.1709,0,0,0,consumer,0
31,M,Nur-Sultan,107247.88,employed,10,678302.88,29,26.87,498165.0,4.6449,3,0,2,consumer,0
39,F,West Kazakhstan,167461.36,employed,20,1388988.15,59,20.54,157959.27,0.9433,1,2,0,consumer,1
18,F,Almaty Region,129447.09,employed,0,1169340.88,67,24.98,666299.83,5.1472,1,2,0,consumer,0
38,F,Mangystau,339724.96,employed,13,3530910.16,34,28.03,2063093.23,6.0728,0,2,0,consumer,0
43,M,Almaty Region,327288.66,self_employed,17,2276838.12,18,27.57,1228747.24,3.7543,1,0,0,consumer,0
44,M,East Kazakhstan,112277.14,employed,21,1422957.32,70,14.35,990306.95,8.8201,3,2,2,consumer,0
18,F,Nur-Sultan,518595.88,employed,1,3711019.11,22,8.8,2542229.78,4.9021,4,0,2,consumer,0
47,F,East Kazakhstan,80405.86,self_employed,23,609513.64,52,34.89,118727.95,1.4766,3,0,1,consumer,0
39,F,Shymkent,361305.0,employed,14,5202844.42,42,18.41,3710998.13,10.2711,4,0,2,consumer,0
40,F,Almaty,211411.83,employed,14,2797644.8,48,19.67,1021529.6,4.8319,2,1,0,consumer,0
50,F,Mangystau,82814.51,employed,25,357385.57,25,30.06,120407.47,1.4539,3,1,1,consumer,0
36,M,Nur-Sultan,97971.14,employed,13,1196911.77,72,27.06,285016.69,2.9092,3,0,2,consumer,0
35,F,Zhambyl,154107.26,employed,12,1206904.18,50,14.18,1043738.25,6.7728,0,2,0,consumer,0
47,M,Almaty,79504.51,student,26,297540.03,62,37.87,140838.24,1.7714,3,5,117,consumer,0
31,M,Almaty,314973.57,retired,8,3769469.23,52,28.6,3487493.02,11.0723,2,9,317,auto,0
28,M,Karaganda,399175.38,employed,4,3969736.17,35,15.24,2367530.11,5.931,5,0,0,consumer,0
39,F,Turkistan,80814.76,employed,16,502612.27,66,19.66,155023.56,1.9182,3,0,2,consumer,0
54,F,Almaty,84862.99,self_employed,30,188615.21,23,23.15,134943.67,1.5901,2,1,2,consumer,0
35,M,North Kazakhstan,77837.72,employed,8,368245.83,69,27.47,73268.8,0.9413,0,2,0,consumer,1
38,F,Kostanay,79761.31,employed,15,206786.19,19,31.41,112339.82,1.4084,3,2,0,consumer,0
45,M,Zhambyl,187542.99,employed,21,2069652.14,34,29.72,1563690.5,8.3377,2,0,0,consumer,0
51,F,Karaganda,353276.94,employed,29,2097909.61,65,43.32,1613722.57,4.5679,1,2,0,consumer,0
43,M,Turkistan,90250.58,employed,16,1845449.53,69,15.12,1537600.47,17.0368,3,2,2,auto,0
35,F,Aktobe,79563.78,self_employed,15,478792.72,53,20.08,94750.72,1.1909,0,0,0,consumer,0
23,F,Karaganda,420942.22,self_employed,3,3357722.29,26,26.19,1505991.62,3.5777,4,1,0,consumer,0
48,F,Kyzylorda,81432.06,employed,27,216936.01,73,36.98,167140.69,2.0525,3,0,0,consumer,0
37,M,Karaganda,198617.88,employed,9,1301506.93,26,17.95,913089.33,4.5972,0,0,0,consumer,1
32,F,East Kazakhstan,420792.95,self_employed,5,1399998.46,11,28.04,670268.72,1.5929,0,0,0,consumer,0
38,M,Almaty Region,81550.42,employed,11,227597.95,50,30.73,94443.92,1.1581,2,2,2,consumer,0
47,F,Zhambyl,80401.93,retired,23,239830.93,44,38.57,122020.43,1.5176,3,0,0,consumer,0
38,M,Kostanay,96320.72,employed,14,1271977.07,29,5.0,281599.65,2.9235,1,0,0,consumer,0
43,M,Almaty,747323.05,unemployed,17,5025792.26,39,30.48,2619336.19,3.505,2,2,0,consumer,0
32,M,Shymkent,348539.11,employed,9,783152.09,13,11.65,594324.97,1.7052,0,0,0,consumer,0
29,M,Almaty,148521.92,self_employed,9,1330968.8,66,22.06,734129.45,4.9429,1,0,2,consumer,0
37,M,Almaty Region,118699.22,employed,8,1144278.97,59,21.76,621578.19,5.2365,1,4,137,consumer,0
40,M,Atyrau,80520.27,employed,20,427717.14,29,14.66,174552.72,2.1678,4,10,320,consumer,0
20,M,East Kazakhstan,77216.7,unemployed,1,943138.15,63,10.72,678798.96,8.7907,0,1,0,consumer,0
33,F,Almaty,145654.84,employed,9,2123411.23,69,5.33,996374.85,6.8406,0,0,0,consumer,0
35,F,East Kazakhstan,118756.7,employed,7,694109.08,17,12.88,427058.46,3.596,3,1,0,consumer,0
19,F,Nur-Sultan,366242.98,employed,0,3677086.71,52,10.31,3329292.48,9.0904,3,0,0,auto,0
39,F,Nur-Sultan,109621.87,employed,17,1414829.44,52,5.26,176140.19,1.6068,2,0,1,consumer,0
38,M,Shymkent,136694.54,retired,13,506122.12,19,45.63,176090.93,1.2882,3,2,0,consumer,0
40,M,Karaganda,100536.2,employed,17,1560916.11,72,12.05,698181.37,6.9445,0,1,0,consumer,0
49,M,Kyzylorda,76979.29,retired,25,53794.95,60,38.41,18492.02,0.2402,0,2,0,consumer,0
43,F,Karaganda,128300.59,employed,14,1343728.15,58,28.99,421681.29,3.2866,1,0,0,consumer,0
36,F,Karaganda,789774.02,employed,9,3158511.8,21,16.7,1879473.03,2.3798,1,9,318,consumer,0
24,F,Kyzylorda,79252.49,employed,0,719828.7,54,18.61,537089.83,6.7769,2,0,1,consumer,0
49,M,Almaty,249674.81,employed,24,3610347.11,59,13.77,3372699.56,13.5083,0,0,1,auto,0
57,F,Almaty,95054.86,employed,35,960584.43,56,31.19,246312.84,2.5912,1,2,1,consumer,1
41,M,Aktobe,134353.33,employed,16,839085.47,19,22.01,736235.71,5.4798,0,2,0,consumer,0
19,M,Zhambyl,1212935.76,employed,0,5289246.03,16,7.34,511372.83,0.4216,1,1,2,consumer,0
49,F,Pavlodar,83947.14,unemployed,25,627936.49,48,23.07,349222.6,4.16,2,0,2,consumer,0
65,M,Akmola,306822.27,employed,38,1525979.29,43,35.93,884633.44,2.8832,0,0,2,consumer,0
40,M,Almaty Region,112990.09,employed,15,1541945.62,66,4.91,1149492.47,10.1733,1,1,2,consumer,0
52,F,Pavlodar,282833.58,employed,27,2459148.38,53,29.34,1840691.94,6.508,0,0,2,consumer,0
39,F,East Kazakhstan,699918.39,employed,10,5925353.2,22,31.57,2454439.78,3.5067,3,0,0,consumer,0
38,F,Karaganda,162141.42,employed,15,1514416.34,55,19.44,550617.79,3.3959,0,0,0,consumer,0
53,F,Turkistan,79587.76,unemployed,32,241859.4,43,22.61,104950.98,1.3187,0,2,0,consumer,0
41,F,Karaganda,117444.04,employed,16,2561794.08,59,12.71,370872.13,3.1578,1,1,1,consumer,0
48,F,West Kazakhstan,99587.53,employed,28,823707.38,47,26.84,363728.49,3.6523,2,0,0,consumer,0
43,F,Almaty Region,92697.44,employed,19,881068.76,42,14.57,350081.77,3.7766,2,0,1,consumer,0
20,F,North Kazakhstan,78832.84,employed,0,261333.82,34,24.88,120065.95,1.523,2,2,1,consumer,0
47,M,West Kazakhstan,319548.61,employed,19,2653887.68,29,30.42,392280.74,1.2276,2,0,0,consumer,0
26,M,Karaganda,90360.77,employed,0,492558.06,33,16.53,175003.54,1.9367,0,0,0,consumer,0
48,M,North Kazakhstan,425397.79,employed,23,1867965.89,32,34.11,1474705.4,3.4666,3,1,2,consumer,0
26,M,Almaty,102898.33,employed,2,1273989.8,71,5.55,599678.92,5.8278,3,11,281,consumer,0
40,M,Almaty,148513.22,employed,16,946665.55,37,29.64,470697.12,3.1694,2,0,0,consumer,0
31,F,Karaganda,182088.49,student,11,656173.01,17,35.81,265115.43,1.456,0,1,0,consumer,0
42,M,Aktobe,473406.39,employed,18,1851301.06,21,23.99,1483354.23,3.1334,0,0,0,consumer,1
38,F,Almaty,78705.42,employed,12,126976.44,32,20.27,42009.92,0.5338,2,0,1,consumer,0
49,F,Shymkent,79974.18,employed,20,526533.6,42,24.31,81344.83,1.0171,0,1,0,consumer,0
40,F,Shymkent,152507.63,student,12,902180.72,34,34.26,103397.77,0.678,0,1,2,consumer,0
40,M,Karaganda,343403.3,self_employed,21,1890062.34,25,25.43,648444.15,1.8883,3,1,2,consumer,0
31,M,Shymkent,801223.53,self_employed,9,2793044.34,15,28.84,1707730.04,2.1314,5,1,0,consumer,0
35,M,Almaty Region,76774.11,retired,12,294269.1,49,22.64,99585.43,1.2971,0,0,0,consumer,0
30,F,Nur-Sultan,250866.95,employed,8,3045006.35,45,32.66,844349.52,3.3657,2,4,168,consumer,0
47,F,Aktobe,179180.24,employed,22,1957988.15,60,24.08,189692.63,1.0587,0,0,0,consumer,0
35,M,Kyzylorda,80215.87,retired,14,457383.24,47,31.34,344843.71,4.2989,2,0,1,consumer,0
25,F,Karaganda,182269.6,employed,0,1519086.89,35,31.01,1001741.09,5.4959,3,0,0,consumer,0
40,M,West Kazakhstan,85673.78,employed,15,915048.38,52,6.57,344801.15,4.0245,0,0,0,consumer,0
31,F,Shymkent,179981.65,employed,6,1271394.35,26,8.78,364087.55,2.0229,2,0,1,consumer,0
18,M,Atyrau,478754.0,employed,2,1971164.74,19,25.77,896908.05,1.8734,3,0,1,consumer,0
35,M,Nur-Sultan,261035.81,employed,11,2520091.01,47,6.07,1914407.64,7.3339,3,5,168,consumer,0
50,F,Kyzylorda,84436.47,retired,26,503511.75,59,26.1,236451.81,2.8003,0,0,0,consumer,1
57,F,Atyrau,298056.77,employed,34,1961505.27,25,27.93,608840.43,2.0427,2,1,0,consumer,0
35,F,Shymkent,80287.88,employed,9,471983.52,46,27.07,341747.06,4.2565,0,0,2,consumer,0
39,M,Almaty Region,83356.55,employed,12,513527.92,46,28.03,247447.05,2.9685,3,0,2,consumer,0
25,F,Turkistan,118853.85,self_employed,1,1311227.74,33,10.67,135437.26,1.1395,3,1,0,consumer,0
30,F,Turkistan,102731.75,employed,7,3063027.66,69,5.07,1109270.1,10.7976,0,1,0,consumer,0
52,M,Karaganda,1310931.03,employed,26,3176921.39,11,21.97,488465.51,0.3726,1,0,0,consumer,0
61,M,Aktobe,162356.0,employed,41,2093156.93,31,5.22,259686.22,1.5995,3,0,0,consumer,0
40,M,Karaganda,76891.63,retired,17,334114.61,33,18.06,93310.82,1.2135,3,1,2,consumer,0
34,F,Karaganda,667811.97,employed,9,3502896.27,23,22.15,717300.8,1.0741,3,0,0,consumer,0
20,M,Atyrau,480583.15,employed,0,1957520.16,18,25.83,935449.28,1.9465,0,0,0,consumer,0
19,F,Almaty,95391.24,retired,1,1132159.95,57,22.31,299530.36,3.14,2,0,0,consumer,0
52,F,Pavlodar,187400.46,self_employed,26,2090302.85,61,23.93,1798122.99,9.595,0,0,0,auto,0
42,F,Nur-Sultan,76253.41,employed,22,584799.95,44,36.29,278891.54,3.6574,0,0,0,consumer,1
41,M,Karaganda,512805.48,self_employed,19,5850753.35,45,9.32,1318383.34,2.5709,4,0,0,consumer,0
53,M,Shymkent,217438.37,employed,26,1469515.56,45,23.96,1114634.0,5.1262,0,2,0,consumer,0
18,F,Turkistan,356298.45,employed,2,2485285.29,34,25.11,2472698.11,6.9399,0,0,0,auto,0
30,M,Shymkent,79560.97,employed,4,746133.36,62,15.04,271624.68,3.414,5,2,1,consumer,0
36,M,Turkistan,499355.35,retired,12,3105390.34,38,34.37,2618989.11,5.2447,3,0,2,auto,0
20,M,Almaty,126348.87,retired,1,319367.1,13,36.46,163805.86,1.2964,2,2,1,consumer,0
38,F,Almaty,80566.58,employed,11,1063105.61,59,24.26,439298.55,5.4525,2,2,0,consumer,0
40,F,East Kazakhstan,453349.99,student,13,4190557.94,46,39.93,3869071.59,8.5344,0,0,0,auto,0
44,M,Akmola,90719.59,employed,16,794949.58,67,25.01,322368.63,3.5534,0,0,2,consumer,0
23,M,Aktobe,80648.47,retired,0,364663.04,17,33.36,188025.3,2.3314,2,1,0,consumer,0
39,F,Karaganda,767262.9,employed,19,5175363.81,42,22.13,2224782.13,2.8996,2,0,2,consumer,0
29,M,West Kazakhstan,141851.39,employed,5,1036689.14,69,40.94,725303.72,5.1131,2,0,0,consumer,0
37,F,Kostanay,1048692.42,employed,10,5149428.99,37,38.79,2219742.67,2.1167,0,0,1,consumer,0
40,M,Atyrau,76839.54,retired,11,463767.79,38,30.61,230607.25,3.0011,0,0,0,consumer,0
33,M,Nur-Sultan,143363.76,retired,5,1005929.89,37,26.54,164043.64,1.1442,1,14,348,consumer,0
27,M,Pavlodar,254792.38,employed,7,3271241.78,57,14.02,3018944.12,11.8486,0,1,0,auto,0
51,M,Kostanay,79104.57,employed,24,586550.0,49,7.88,197137.51,2.4921,0,1,0,consumer,0
26,F,Karaganda,683265.09,employed,1,1711896.35,12,22.88,1201975.32,1.7592,2,0,0,consumer,0
43,F,Karaganda,710092.41,student,22,4174254.38,47,51.09,3583384.96,5.0464,3,0,0,auto,0
51,M,East Kazakhstan,216992.74,employed,29,1930150.36,39,13.26,479254.21,2.2086,3,1,0,consumer,0
28,M,Pavlodar,299721.05,unemployed,2,4178015.09,49,16.78,2685150.53,8.9588,1,9,276,consumer,1
30,M,Almaty Region,176574.32,employed,9,1114515.37,38,30.07,771460.13,4.369,2,0,1,consumer,0
35,F,East Kazakhstan,88867.5,self_employed,12,1199158.18,61,26.45,537732.3,6.0509,0,1,0,consumer,1
46,M,Almaty,459127.89,unemployed,21,2173724.6,20,17.49,284319.14,0.6193,2,0,1,consumer,0
50,F,Turkistan,661438.81,employed,26,4492650.89,45,24.43,1692005.76,2.5581,2,0,2,consumer,0
18,F,Kyzylorda,159950.08,self_employed,0,2042051.04,61,19.14,1484548.46,9.2813,1,0,0,consumer,0
40,F,Almaty,79502.68,employed,14,555249.91,66,17.56,172501.88,2.1697,1,0,2,consumer,0
27,F,West Kazakhstan,307116.13,employed,4,2934715.42,49,6.37,1355950.63,4.4151,1,2,0,consumer,0
18,F,Shymkent,118092.36,employed,0,1474189.6,36,26.9,1234270.63,10.4517,0,0,0,consumer,0
32,M,Turkistan,77845.44,retired,7,552734.8,58,24.06,367177.2,4.7167,3,2,0,consumer,0
37,M,Turkistan,131629.14,retired,7,1917486.15,68,26.1,1258456.6,9.5606,2,0,0,consumer,0
38,F,Akmola,77704.51,employed,11,738954.84,33,27.83,172491.26,2.2198,3,0,1,consumer,0
47,M,North Kazakhstan,124168.88,retired,20,736086.43,28,8.92,381443.68,3.072,0,0,1,consumer,0
37,M,Shymkent,75236.46,self_employed,13,493749.82,70,29.51,64249.35,0.854,0,0,0,consumer,0
48,F,Kostanay,803940.53,employed,22,5914156.08,22,19.95,5245929.95,6.5253,3,0,0,auto,0
30,M,West Kazakhstan,192589.24,employed,4,1139757.47,44,27.66,592030.63,3.074,1,1,0,consumer,0
46,F,Karaganda,75946.03,student,21,114303.34,73,15.39,86481.16,1.1387,1,0,0,consumer,0
44,M,Karaganda,583427.82,employed,18,3203645.85,24,21.17,2658905.09,4.5574,3,0,1,auto,0
52,F,Almaty,273072.42,employed,29,939510.37,13,16.66,178213.14,0.6526,3,0,0,consumer,0
