age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target
27,M,Москва,330353.47,employed,12,2323383.02,59,16.67,288511.11,0.8733,7,3,86,consumer,0
41,M,Москва,280253.1,employed,18,2335057.66,48,12.21,278688.08,0.9944,5,3,70,consumer,0
31,M,Юг России,118977.0,self_employed,7,509436.64,69,14.47,289049.47,2.4294,9,2,51,consumer,0
34,M,Урал,291149.01,employed,0,2050079.15,28,17.3,288932.51,0.9924,12,1,64,business,0
45,M,Центральный ФО,160298.15,employed,19,807198.08,74,16.61,294765.84,1.8388,2,0,65,consumer,0
41,M,Юг России,287478.35,self_employed,6,389078.44,66,24.23,148538.02,0.5167,21,1,18,consumer,0
32,F,Дальний Восток,184170.74,employed,13,1287883.37,34,9.64,294064.11,1.5967,4,4,55,consumer,0
33,M,Юг России,112691.24,self_employed,10,544056.68,75,20.9,297055.48,2.636,13,3,43,consumer,0
30,M,Юг России,125258.24,employed,0,329141.33,35,27.72,278605.2,2.2242,15,4,57,consumer,0
40,M,Москва,121771.58,employed,7,311661.75,62,13.2,277919.99,2.2823,1,1,83,auto,0
28,M,Москва,200569.04,employed,4,1068350.28,41,27.22,291062.88,1.4512,14,4,52,consumer,0
42,M,Урал,309779.65,employed,7,2282665.31,27,18.73,293144.16,0.9463,4,1,60,business,0
29,F,Поволжье,18005.99,employed,3,181618.95,66,27.1,147651.54,8.1997,2,3,51,consumer,1
31,M,Юг России,124694.01,employed,4,531157.36,67,13.8,293764.71,2.3559,2,3,63,consumer,0
28,F,Поволжье,153021.78,employed,9,820755.25,36,18.45,288133.23,1.8829,1,1,48,business,0
40,F,Дальний Восток,237368.21,employed,17,1854029.95,75,12.91,273828.0,1.1536,6,1,27,consumer,0
42,M,Урал,158648.69,employed,5,624898.99,43,12.78,290597.34,1.8317,3,4,66,consumer,0
31,F,Дальний Восток,260112.16,employed,11,1831540.52,56,12.82,289525.21,1.1131,6,0,47,consumer,0
47,F,Сибирь,271967.5,employed,12,2417766.35,76,11.86,280393.88,1.031,3,3,43,consumer,0
35,F,Дальний Восток,220072.77,employed,3,1470740.85,53,12.12,290711.93,1.321,1,1,61,consumer,0
28,M,Москва,214398.76,employed,0,1381953.79,35,11.28,431597.13,2.013,11,0,12,consumer,1
29,M,Юг России,118411.16,employed,2,545490.03,70,12.94,294508.68,2.4871,6,0,63,consumer,0
42,M,Урал,317295.91,employed,6,2058524.65,24,17.92,289113.59,0.9112,6,4,64,business,0
30,F,Санкт-Петербург,135431.78,employed,17,329463.89,40,10.78,283203.9,2.0911,8,2,43,consumer,0
49,F,Поволжье,292521.94,employed,7,388056.08,44,13.32,162480.43,0.5554,4,2,48,consumer,1
26,F,Дальний Восток,315707.22,employed,2,1909849.96,39,13.6,301010.7,0.9534,13,2,49,consumer,0
42,F,Санкт-Петербург,199629.62,employed,11,1263250.58,74,15.74,289676.13,1.4511,8,4,42,consumer,1
32,F,Дальний Восток,235876.24,self_employed,1,1701394.23,38,13.71,296039.08,1.2551,12,0,42,auto,1
50,M,Москва,129641.77,employed,10,321872.74,34,21.43,284594.34,2.1952,11,3,60,consumer,1
38,M,Юг России,301837.34,employed,6,2263024.77,82,12.23,277996.07,0.921,4,4,66,consumer,0
33,F,Поволжье,198928.03,employed,14,1344316.38,78,21.65,276649.92,1.3907,2,3,44,consumer,0
31,F,Сибирь,181877.1,employed,11,1732101.93,74,27.71,380587.9,2.0925,2,1,56,consumer,0
40,F,Санкт-Петербург,203074.49,employed,8,1250144.45,73,14.91,300293.94,1.4787,6,0,40,consumer,1
42,F,Санкт-Петербург,243340.59,employed,10,1497672.88,34,15.9,302995.95,1.2451,8,1,60,consumer,1
39,M,Юг России,297662.76,self_employed,7,367221.63,62,24.88,151674.22,0.5095,20,2,15,consumer,0
44,M,Урал,259639.83,employed,14,1828893.59,61,15.6,281552.62,1.0844,6,2,27,consumer,0
45,F,Санкт-Петербург,123196.12,employed,0,454865.08,29,14.17,292504.59,2.3743,9,1,61,consumer,0
45,M,Центральный ФО,216993.0,employed,7,1628377.12,52,11.44,287316.45,1.3241,4,1,42,consumer,0
39,M,Центральный ФО,240521.79,employed,2,1371218.44,84,14.49,297606.34,1.2373,3,9,265,consumer,0
44,F,Дальний Восток,245865.02,employed,0,1472768.92,25,20.21,296699.26,1.2068,15,1,40,consumer,0
29,F,Дальний Восток,262308.2,employed,12,1818132.6,55,13.43,289519.45,1.1037,5,1,48,consumer,0
35,M,Урал,249172.3,self_employed,7,1803849.47,66,14.06,282177.28,1.1325,10,1,40,consumer,0
43,M,Урал,284760.42,employed,1,2193363.6,38,18.01,275088.58,0.966,12,1,61,business,0
34,F,Поволжье,236680.75,employed,18,1764789.91,51,22.56,289008.04,1.2211,1,0,34,consumer,1
33,M,Юг России,127793.25,employed,0,330149.23,34,29.06,278963.18,2.1829,18,0,57,consumer,0
41,M,Москва,237817.8,employed,10,1452546.21,65,11.3,287587.23,1.2093,8,2,61,consumer,0
40,M,Урал,207819.63,employed,19,826115.22,61,12.97,285993.54,1.3762,0,4,69,consumer,0
35,M,Москва,128029.13,employed,13,629380.1,71,10.78,293415.81,2.2918,10,5,124,consumer,0
26,F,Дальний Восток,280955.69,employed,6,1440579.08,39,21.87,294641.12,1.0487,15,1,63,consumer,1
25,F,Санкт-Петербург,236653.67,employed,8,1953110.23,40,14.43,352057.23,1.4876,3,0,18,consumer,1
37,M,Урал,289870.33,employed,1,2195172.31,25,16.86,278627.85,0.9612,16,1,65,business,0
27,F,Поволжье,236934.26,employed,9,1516133.7,69,24.96,265096.41,1.1189,2,0,48,consumer,0
41,M,Урал,291799.96,employed,16,2351464.07,27,12.88,272960.42,0.9354,10,0,61,business,0
40,M,Урал,157767.68,employed,4,594050.08,42,13.31,288195.1,1.8267,5,3,69,consumer,0
31,M,Москва,187262.81,employed,10,986189.59,45,19.28,294243.68,1.5713,1,3,43,consumer,0
36,F,Дальний Восток,263711.06,employed,4,1949385.83,40,12.23,288284.53,1.0932,3,4,39,consumer,0
30,M,Урал,442130.21,employed,15,2183179.2,59,15.04,400506.45,0.9059,16,2,47,consumer,1
41,M,Москва,188528.63,employed,17,961661.42,54,12.4,294087.59,1.5599,4,4,54,consumer,0
38,F,Сибирь,291816.88,employed,9,1934877.74,73,10.95,284015.61,0.9733,8,4,54,consumer,0
33,M,Москва,247516.04,retired,13,1815771.41,42,10.92,275176.43,1.1117,6,0,70,consumer,0
37,M,Юг России,436027.31,employed,12,1856972.81,84,28.49,260657.15,0.5978,6,4,66,consumer,0
42,M,Москва,261744.5,employed,11,1793109.44,75,12.74,273287.51,1.0441,7,3,58,consumer,0
37,F,Сибирь,266217.16,employed,3,1886092.07,34,13.23,282568.54,1.0614,7,2,29,auto,1
35,F,Сибирь,190645.34,employed,13,1206206.83,65,19.08,291741.74,1.5303,3,1,57,consumer,0
37,F,Санкт-Петербург,256826.99,unemployed,8,1116907.6,37,22.93,215562.43,0.8393,8,2,10,consumer,1
41,M,Центральный ФО,235791.04,employed,5,1397524.28,82,15.48,285343.92,1.2102,1,10,265,consumer,0
27,F,Поволжье,247453.32,employed,9,1355663.48,72,25.09,309373.33,1.2502,5,3,47,consumer,0
37,F,Санкт-Петербург,206766.44,employed,9,1303689.69,43,19.62,243438.91,1.1774,8,1,98,business,0
31,M,Юг России,243989.28,self_employed,7,1893806.48,84,10.05,291203.6,1.1935,13,0,61,consumer,0
37,M,Москва,218677.68,employed,16,1283902.12,75,12.15,300965.75,1.3763,3,4,63,consumer,0
34,F,Сибирь,194960.85,employed,15,1218641.36,67,19.08,297917.3,1.5281,2,2,56,consumer,0
37,M,Юг России,257019.0,employed,14,1759725.63,69,19.0,306539.46,1.1927,3,3,44,consumer,0
22,F,Дальний Восток,262198.57,unemployed,5,1941180.89,53,14.11,303421.0,1.1572,14,3,51,consumer,0
42,M,Юг России,288030.78,self_employed,5,377776.95,66,24.21,158956.8,0.5519,21,1,17,consumer,0
24,F,Санкт-Петербург,290147.77,employed,3,2340943.0,54,9.88,284787.18,0.9815,7,1,44,consumer,0
45,F,Сибирь,306845.98,employed,12,2306664.52,73,11.32,274019.33,0.893,2,4,42,consumer,0
33,M,Юг России,127924.25,employed,1,320356.56,32,27.36,281145.52,2.1977,14,1,59,consumer,0
34,F,Дальний Восток,192190.71,employed,14,1373480.81,37,10.0,301101.64,1.5667,1,0,55,consumer,0
26,M,Москва,324112.91,employed,12,2329995.82,61,14.66,290321.04,0.8957,9,4,85,consumer,0
33,M,Юг России,120756.23,employed,2,320167.4,35,26.74,292893.66,2.4255,18,1,59,consumer,0
37,M,Центральный ФО,248749.51,employed,14,1792563.61,36,12.68,281648.21,1.1323,4,0,42,consumer,1
37,M,Урал,261499.59,employed,0,1668413.33,28,18.23,287192.41,1.0982,12,0,67,business,0
41,F,Сибирь,227535.66,employed,8,1631404.25,30,21.92,326317.6,1.4341,0,5,82,consumer,1
38,F,Сибирь,154098.99,self_employed,11,594131.32,9,19.09,284174.28,1.8441,10,2,20,consumer,0
48,M,Юг России,126791.69,employed,18,549204.63,84,25.51,289192.6,2.2808,17,3,47,consumer,0
38,M,Урал,304053.59,employed,1,2195833.03,26,17.49,288999.9,0.9505,9,0,40,business,0
41,M,Москва,141031.37,employed,4,1817393.05,56,27.87,442652.64,3.1387,12,1,44,consumer,1
40,F,Санкт-Петербург,126258.82,employed,9,415850.69,37,16.21,297800.04,2.3586,1,3,107,consumer,0
37,M,Москва,242464.43,retired,11,1719671.46,43,11.12,286262.55,1.1806,9,0,70,consumer,0
24,M,Центральный ФО,191230.47,employed,11,1355004.21,29,12.69,292281.9,1.5284,4,2,36,consumer,0
36,M,Москва,221044.16,employed,13,1364932.45,74,11.88,289317.91,1.3089,5,2,62,consumer,0
48,F,Санкт-Петербург,227121.76,employed,13,1374057.55,73,14.05,296465.88,1.3053,8,2,69,consumer,0
29,F,Санкт-Петербург,134339.74,employed,17,334338.47,43,11.01,279398.1,2.0798,7,4,40,consumer,0
51,F,Сибирь,218252.23,employed,11,1963939.67,40,13.21,233040.74,1.0678,4,4,47,consumer,0
34,F,Сибирь,181580.65,employed,8,1618069.78,76,27.16,351965.91,1.9383,1,2,56,consumer,0
47,M,Москва,439314.48,employed,2,1635876.16,75,12.25,348989.33,0.7944,16,1,62,consumer,0
27,M,Москва,161369.2,employed,4,949851.3,59,21.44,288273.16,1.7864,13,2,82,consumer,0
43,M,Урал,276086.54,employed,15,2234921.91,25,23.33,272392.33,0.9866,19,1,46,business,0
38,M,Центральный ФО,242903.54,student,16,1677965.19,38,13.08,215188.85,0.8859,7,3,44,mortgage,1
31,M,Москва,201980.64,employed,8,1034594.67,44,12.18,264288.74,1.3085,0,0,56,consumer,0
40,M,Москва,153562.62,employed,18,834978.74,48,12.33,270779.11,1.7633,3,2,65,consumer,0
42,F,Поволжье,157546.49,employed,16,430450.22,41,11.8,293699.02,1.8642,7,1,65,consumer,1
38,M,Юг России,114620.51,self_employed,5,308125.63,76,14.1,277699.76,2.4228,19,3,44,auto,0
42,F,Санкт-Петербург,125047.72,employed,6,421693.59,37,14.89,291280.84,2.3293,3,5,106,consumer,0
40,M,Урал,156266.31,employed,5,638532.28,40,12.22,291273.28,1.8639,6,1,69,consumer,0
42,M,Центральный ФО,112011.58,employed,14,1539813.31,61,27.29,416806.44,3.7211,9,3,26,consumer,1
30,F,Сибирь,255445.59,employed,3,1791747.46,65,10.96,297625.24,1.1651,7,0,36,consumer,0
42,M,Юг России,165165.28,employed,8,539044.05,81,12.95,277571.12,1.6806,3,0,62,consumer,0
47,F,Сибирь,311509.48,employed,13,2358714.17,38,12.66,276559.89,0.8878,2,4,46,consumer,1
48,F,Сибирь,310671.35,employed,14,2244637.12,36,12.78,297498.6,0.9576,1,4,46,consumer,1
24,M,Москва,305666.33,employed,14,2269120.81,59,16.03,297187.09,0.9723,8,5,87,consumer,0
42,F,Санкт-Петербург,211653.06,employed,9,1126954.12,33,13.53,286175.37,1.3521,0,2,47,consumer,0
42,M,Урал,149454.12,employed,4,624530.51,41,13.3,289263.6,1.9355,5,1,67,consumer,0
38,M,Урал,259731.09,employed,0,1773666.59,28,18.12,273108.78,1.0515,12,1,64,business,0
46,M,Москва,474252.29,employed,9,2403777.12,20,16.66,380872.68,0.8031,7,1,19,consumer,0
34,M,Юг России,117190.08,self_employed,9,533865.94,76,21.12,278501.43,2.3765,10,2,40,consumer,0
39,F,Сибирь,228332.56,employed,8,1591355.99,34,21.46,324717.42,1.4221,0,2,82,consumer,1
25,M,Юг России,282768.54,employed,16,539599.45,78,24.98,287576.5,1.017,9,3,68,auto,0
24,F,Дальний Восток,131192.21,employed,2,555654.26,39,26.2,291386.69,2.2211,15,0,63,auto,0
32,F,Поволжье,190215.93,employed,12,1357626.28,65,12.18,270594.5,1.4226,3,1,62,consumer,0
47,M,Юг России,127255.33,employed,16,519552.34,84,25.33,283570.39,2.2283,17,4,49,consumer,0
44,M,Москва,251198.07,employed,13,1505163.55,63,12.75,279620.07,1.1131,0,3,63,consumer,0
38,M,Юг России,311363.02,employed,3,2325297.98,84,12.56,284961.11,0.9152,5,2,66,consumer,0
31,F,Санкт-Петербург,234085.88,employed,12,1691799.93,37,21.45,282018.81,1.2048,8,3,50,consumer,0
46,M,Центральный ФО,241012.12,employed,9,1603403.68,55,13.51,303310.22,1.2585,3,1,44,consumer,0
34,F,Поволжье,190507.2,employed,14,1257723.5,80,21.11,280345.03,1.4716,4,1,42,consumer,0
34,M,Центральный ФО,141104.7,unemployed,9,423556.72,75,19.93,306030.56,2.1688,1,2,82,consumer,0
23,F,Дальний Восток,324741.37,employed,5,1941891.82,39,12.69,281009.81,0.8653,10,1,51,consumer,0
36,M,Центральный ФО,194805.05,employed,13,1072231.47,35,20.17,272148.37,1.397,2,1,50,consumer,0
44,M,Центральный ФО,233420.98,employed,8,1567581.4,56,12.26,283822.6,1.2159,3,1,43,consumer,0
45,F,Поволжье,218478.96,employed,15,1738106.74,36,11.24,278927.99,1.2767,7,0,29,consumer,0
36,M,Центральный ФО,236180.21,employed,14,1857836.93,38,13.0,286894.35,1.2147,4,1,42,consumer,1
24,F,Санкт-Петербург,249156.09,employed,5,1896340.71,43,15.74,353392.69,1.4184,6,0,18,consumer,1
30,F,Поволжье,339134.5,employed,1,1637720.27,59,27.84,429140.66,1.2654,4,3,69,consumer,1
29,F,Дальний Восток,242627.62,self_employed,2,1763936.08,36,13.36,303706.8,1.2517,15,2,45,auto,1
35,F,Поволжье,177252.72,employed,13,1283074.73,80,21.86,301038.59,1.6983,2,3,42,consumer,0
39,M,Москва,208337.44,employed,13,1416513.52,40,19.99,280394.95,1.3459,7,3,52,consumer,0
25,M,Москва,229685.72,employed,2,1345787.8,36,11.91,431658.89,1.8793,12,0,12,consumer,1
28,M,Урал,202741.32,employed,5,1416622.56,37,10.11,286284.81,1.4121,0,1,46,consumer,0
45,M,Центральный ФО,203032.24,employed,12,1085931.35,38,16.07,174674.85,0.8603,1,2,37,consumer,1
28,M,Москва,162256.75,employed,1,620718.14,33,9.66,281771.9,1.7366,12,2,61,refinance,0
28,F,Санкт-Петербург,244786.77,employed,6,1944998.89,40,15.27,345742.81,1.4124,6,2,21,consumer,1
24,M,Москва,155171.39,employed,5,977128.97,61,20.67,294492.13,1.8978,17,5,83,consumer,0
32,F,Дальний Восток,249209.94,employed,7,1974188.43,45,12.68,300342.13,1.2052,1,3,54,consumer,0
31,F,Сибирь,197940.6,employed,9,1177997.08,30,12.42,282309.82,1.4262,1,1,48,consumer,0
33,M,Юг России,169580.43,employed,0,1340826.25,72,23.86,287991.4,1.6982,3,1,65,consumer,0
31,M,Юг России,132512.09,employed,0,298165.83,32,28.1,298529.93,2.2528,16,0,59,consumer,0
42,F,Санкт-Петербург,306401.03,employed,8,2056981.36,37,12.42,235565.47,0.7688,8,2,81,consumer,1
41,M,Урал,293720.24,employed,8,731032.84,33,18.79,352535.84,1.2002,15,2,46,consumer,1
38,M,Юг России,318407.25,employed,3,2349690.98,84,12.03,281563.33,0.8843,3,4,67,consumer,0
44,M,Москва,136903.55,employed,3,2127378.14,59,28.05,435605.4,3.1818,13,1,42,consumer,1
25,M,Москва,168781.02,employed,11,672961.92,73,19.25,297310.07,1.7615,1,4,48,consumer,0
43,F,Сибирь,231583.23,employed,5,1551901.53,76,12.98,286904.22,1.2389,3,7,271,consumer,0
25,F,Санкт-Петербург,380283.54,employed,8,1423401.4,39,16.97,245910.42,0.6466,6,4,84,consumer,0
28,M,Москва,321313.93,employed,10,2227248.94,59,15.44,295040.18,0.9182,10,4,86,consumer,0
31,M,Урал,177223.53,employed,10,861179.26,47,15.08,262103.87,1.4789,13,1,45,consumer,0
38,M,Урал,311185.55,employed,9,2221690.89,27,18.66,300870.81,0.9669,8,1,41,consumer,0
40,M,Москва,285632.66,employed,11,2272003.81,84,21.8,287596.02,1.0069,2,2,71,consumer,0
22,F,Дальний Восток,270377.27,unemployed,6,1854872.26,53,14.58,282202.64,1.0437,14,4,55,consumer,0
31,M,Юг России,116686.51,employed,6,525371.07,71,12.9,291322.63,2.4966,5,3,62,consumer,0
37,F,Сибирь,322791.42,employed,10,1979923.38,74,11.02,291392.05,0.9027,6,2,54,consumer,0
33,M,Урал,423968.28,employed,17,2053766.46,57,13.96,358337.51,0.8452,17,2,50,consumer,1
39,F,Поволжье,191941.04,employed,4,924979.49,66,13.17,295377.11,1.5389,3,9,266,consumer,0
36,M,Урал,256958.34,employed,0,1772593.55,28,17.95,278084.79,1.0822,12,2,66,business,0
35,M,Урал,243717.83,employed,0,1692162.78,24,17.75,308459.81,1.2656,12,1,57,business,0
34,M,Юг России,121420.23,self_employed,11,534243.7,78,20.13,291118.5,2.3976,10,3,42,consumer,0
38,M,Урал,154178.91,employed,3,655459.98,39,13.11,287949.95,1.8676,5,0,70,consumer,0
43,M,Урал,260166.61,employed,9,596621.45,25,12.28,281235.78,1.081,9,2,67,consumer,0
22,M,Юг России,285094.5,employed,2,2043959.41,38,10.09,270707.93,0.9495,17,2,62,consumer,1
42,F,Санкт-Петербург,218607.65,employed,9,1302569.87,77,15.88,276888.16,1.2666,5,1,42,consumer,1
24,M,Москва,346515.51,employed,11,2215825.46,58,14.95,304583.34,0.879,8,5,83,consumer,0
42,F,Поволжье,187570.31,employed,6,960031.11,66,12.65,292885.34,1.5615,1,9,266,consumer,0
43,F,Санкт-Петербург,250132.24,employed,7,1501141.15,37,16.13,304191.18,1.2161,12,4,58,consumer,1
22,F,Сибирь,267506.76,employed,2,1575501.67,72,27.55,297143.11,1.1108,0,4,60,refinance,0
33,M,Юг России,165742.72,employed,1,1478151.73,75,23.87,292192.99,1.7629,1,4,67,consumer,0
48,F,Сибирь,296167.58,employed,16,2243664.82,34,12.46,289026.42,0.9759,4,2,46,consumer,1
45,M,Москва,233916.51,employed,11,1500095.57,63,14.01,286405.63,1.2244,3,3,60,consumer,0
46,M,Урал,212286.62,employed,8,846011.26,55,20.84,293574.68,1.3829,14,5,86,consumer,0
24,M,Урал,247486.47,employed,5,1736515.65,73,13.49,280444.19,1.1332,18,1,68,consumer,0
32,F,Санкт-Петербург,300519.6,employed,7,1969610.01,38,12.64,272290.03,0.9061,2,4,50,consumer,1
32,M,Москва,154855.45,employed,13,717653.15,39,14.93,289539.37,1.8697,6,2,38,consumer,0
21,F,Дальний Восток,264219.36,unemployed,7,1862150.14,53,14.37,282351.89,1.0686,17,0,55,consumer,0
28,F,Санкт-Петербург,149224.5,employed,0,561429.62,66,14.91,293385.25,1.9661,1,4,170,consumer,0
32,M,Юг России,128731.73,self_employed,7,563667.1,71,14.21,293082.77,2.2767,12,0,51,consumer,0
29,M,Урал,137955.93,employed,0,425561.98,82,27.13,286282.11,2.0752,17,0,55,consumer,0
44,F,Санкт-Петербург,79625.04,employed,10,440551.37,69,10.44,240649.72,3.0222,7,3,70,consumer,0
38,F,Поволжье,417491.3,employed,16,1120246.75,35,12.82,304673.52,0.7298,7,1,61,consumer,1
23,M,Юг России,287567.06,employed,2,2111081.15,38,10.1,309620.4,1.0767,18,0,66,consumer,1
32,F,Поволжье,331621.92,employed,0,1717390.96,59,28.22,440431.09,1.3281,5,3,66,consumer,1
40,M,Урал,330399.89,employed,7,636709.87,42,13.12,277079.18,0.8386,1,1,66,consumer,0
40,F,Санкт-Петербург,311797.65,employed,8,2103726.44,35,12.48,247824.93,0.7948,10,3,81,consumer,1
