age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target,monthly_payment_approx,payment_to_income,credit_burden_index,has_overdue_history,is_high_interest
29,F,Karaganda,78721.87,student,2,195682.95,66,31.25,70831.53,0.8998,3,2,0,consumer,0,6239.47,0.0793,1.7698,1,1
46,M,Karaganda,79288.33,retired,20,106959.22,22,36.63,67061.61,0.8458,0,1,0,consumer,0,6746.76,0.0851,1.3179,1,1
39,F,Almaty Region,397122.79,employed,11,3058063.16,69,25.35,719066.38,1.8107,0,0,1,consumer,0,84595.78,0.213,4.5059,0,1
57,M,Nur-Sultan,79297.48,employed,33,617607.42,36,21.74,143340.02,1.8076,0,0,1,consumer,0,23503.72,0.2964,4.5335,0,1
18,M,West Kazakhstan,416569.93,self_employed,0,3639221.04,55,35.67,1407655.56,3.3791,0,2,0,consumer,0,135165.45,0.3245,6.4368,1,1
39,F,West Kazakhstan,127344.36,retired,10,813699.84,59,38.01,402608.31,3.1615,3,1,0,consumer,0,30641.07,0.2406,5.3979,1,1
24,M,Almaty,75143.04,employed,4,247871.11,48,44.98,76323.15,1.0157,4,0,0,consumer,0,11207.04,0.1491,2.1702,0,1
69,M,Kostanay,85507.16,student,41,138140.28,46,26.67,98635.47,1.1535,0,11,290,consumer,1,4825.78,0.0564,1.719,1,1
54,F,Atyrau,249768.7,retired,30,1867959.7,60,24.4,503076.21,2.0142,2,0,2,consumer,0,54171.97,0.2169,4.6317,0,1
50,F,Almaty,268536.87,employed,28,878356.5,28,36.28,583193.9,2.1717,0,0,2,consumer,0,46944.1,0.1748,3.3165,0,1
29,F,Almaty,81704.05,self_employed,5,552311.62,70,14.01,190130.85,2.327,3,7,247,consumer,0,11592.13,0.1419,4.693,1,0
45,M,Nur-Sultan,471138.64,employed,15,2829854.51,35,44.19,668628.94,1.4192,4,2,2,consumer,0,145146.28,0.3081,3.5214,1,1
29,M,West Kazakhstan,351094.71,employed,3,2810993.31,58,20.61,1829705.47,5.2114,2,0,0,consumer,0,76930.4,0.2191,8.0136,0,1
29,F,North Kazakhstan,139738.18,self_employed,0,1091987.48,62,35.73,822879.73,5.8887,0,1,0,consumer,0,38807.38,0.2777,8.6237,1,1
52,M,West Kazakhstan,160488.29,retired,25,703420.1,30,29.68,240231.33,1.4969,0,2,0,consumer,0,33488.37,0.2087,3.0309,1,1
36,M,Almaty Region,114802.41,employed,9,1238901.94,63,21.9,584185.34,5.0886,3,6,133,consumer,0,33250.72,0.2896,8.8656,1,1
60,M,Almaty,433790.97,employed,38,1813692.43,16,29.58,391190.16,0.9018,3,0,1,consumer,0,138548.89,0.3194,2.3651,0,1
53,M,Nur-Sultan,408401.2,employed,30,3772421.77,44,36.86,2028642.79,4.9673,1,1,0,consumer,0,157475.25,0.3856,8.2002,1,1
54,F,Mangystau,141328.25,self_employed,32,1787391.25,69,18.17,863427.95,6.1093,1,0,1,consumer,0,41929.68,0.2967,10.5358,0,1
69,M,Almaty,111596.26,employed,40,382761.76,15,33.67,246643.18,2.2101,2,2,0,consumer,0,31614.04,0.2833,3.4106,1,1
40,F,Zhambyl,507998.86,employed,15,4450501.01,38,13.55,3499117.23,6.888,0,1,0,auto,0,144686.67,0.2848,9.9543,1,0
65,M,Kostanay,79080.3,employed,37,683338.27,47,20.07,477812.24,6.042,4,0,0,consumer,0,21109.83,0.2669,9.0664,0,1
29,F,East Kazakhstan,280738.38,employed,8,2147574.83,66,34.13,244735.25,0.8718,4,0,1,consumer,0,72463.78,0.2581,3.5492,0,1
23,M,Zhambyl,75039.55,employed,0,246011.01,32,27.43,140325.68,1.87,3,0,0,consumer,0,10923.08,0.1456,3.0174,0,1
39,F,East Kazakhstan,83352.48,unemployed,14,330678.58,42,31.38,133835.6,1.6056,0,1,0,consumer,0,13065.8,0.1568,2.9942,1,1
35,M,Nur-Sultan,207631.23,employed,7,2050748.79,41,15.73,1904269.05,9.1714,0,0,1,auto,0,64976.82,0.3129,12.6282,0,0
30,M,Aktobe,138768.12,employed,12,1032336.96,25,24.92,530165.23,3.8205,2,0,0,consumer,0,53353.86,0.3845,6.4242,0,1
35,M,Kyzylorda,80613.72,retired,14,523124.51,48,32.45,350946.39,4.3534,3,2,1,consumer,0,19588.3,0.243,6.6246,1,1
26,M,Almaty,90007.77,employed,2,429893.17,15,29.55,278709.85,3.0965,3,0,0,consumer,0,34625.24,0.3847,4.7681,0,1
37,F,North Kazakhstan,217322.74,employed,14,768065.3,13,23.75,114143.94,0.5252,3,9,214,consumer,0,67587.75,0.311,1.7622,1,1
24,M,Nur-Sultan,469243.65,employed,2,3835869.45,53,18.0,3463511.65,7.381,4,0,0,auto,0,105430.28,0.2247,10.2421,0,0
48,M,Zhambyl,326999.94,employed,26,3102223.7,40,16.07,2872653.26,8.7848,2,1,0,auto,0,100679.25,0.3079,12.1053,1,0
30,M,Karaganda,195757.84,employed,7,2510061.33,60,31.76,908909.16,4.643,0,0,0,consumer,0,83943.32,0.4288,9.1308,0,1
49,F,Almaty,747994.16,employed,19,3928518.29,33,24.2,2758921.41,3.6884,1,1,1,consumer,0,164173.78,0.2195,5.5266,1,1
39,M,Kyzylorda,75703.9,student,14,661462.33,41,24.86,563923.63,7.449,3,0,0,consumer,0,24100.33,0.3183,10.5071,0,1
28,F,Almaty,225350.72,retired,1,1117023.2,18,14.4,172475.98,0.7654,0,0,0,consumer,0,69370.24,0.3078,2.5002,0,0
34,M,Shymkent,1325715.42,employed,9,8983853.5,53,35.59,5769647.93,4.3521,0,0,0,consumer,0,338324.25,0.2552,6.7239,0,1
34,F,North Kazakhstan,587241.33,student,10,4057817.21,39,43.25,3698679.81,6.2984,0,1,0,auto,0,195353.72,0.3327,8.7169,1,1
34,M,Almaty,871945.05,employed,15,4272828.39,22,17.12,1358866.6,1.5584,0,0,2,consumer,0,227661.74,0.2611,3.2735,0,0
36,M,West Kazakhstan,151453.69,employed,10,1767501.61,60,29.05,424223.65,2.801,1,0,0,consumer,0,56157.62,0.3708,6.8856,0,1
31,M,Akmola,87989.47,employed,6,828957.91,42,29.39,550672.33,6.2583,3,0,0,consumer,0,31819.59,0.3616,9.5557,0,1
18,M,Zhambyl,75226.66,unemployed,0,423952.67,32,17.5,150227.88,1.997,1,0,2,consumer,0,16674.06,0.2216,3.9694,0,0
53,M,East Kazakhstan,227138.02,employed,28,1921584.19,38,12.8,521122.72,2.2943,1,0,0,consumer,0,61772.49,0.272,5.2553,0,0
43,M,Nur-Sultan,220925.66,employed,22,1212083.06,35,32.09,214522.3,0.971,0,0,0,consumer,0,53758.64,0.2433,2.8912,0,1
42,F,Aktobe,245331.73,employed,17,2142743.73,46,13.99,1209286.85,4.9292,2,3,140,consumer,0,60447.52,0.2464,7.9861,1,0
40,F,Karaganda,113084.05,employed,13,2481124.14,61,12.8,382307.16,3.3807,0,2,2,consumer,0,55540.92,0.4911,11.0598,1,0
32,F,Shymkent,149216.07,employed,2,1131132.25,37,17.21,857250.0,5.745,0,0,0,consumer,0,39609.99,0.2655,8.3981,0,0
34,M,Almaty,146420.98,employed,8,860449.57,20,34.06,117887.52,0.8051,0,2,0,consumer,0,56974.72,0.3891,2.8619,1,1
44,M,Aktobe,625914.8,employed,19,7539154.78,68,19.42,1846920.52,2.9507,0,0,1,consumer,0,183653.89,0.2934,7.1665,0,1
23,M,Aktobe,94496.84,employed,3,697702.87,51,22.42,147397.84,1.5598,2,0,0,consumer,0,21336.16,0.2258,4.1439,0,1
24,M,Nur-Sultan,78150.63,student,1,301865.04,50,41.57,68055.97,0.8708,0,0,0,consumer,0,12786.57,0.1636,2.2227,0,1
38,F,Almaty Region,473505.51,employed,11,3357529.31,58,36.69,1212170.77,2.56,0,4,169,consumer,0,124331.76,0.2626,5.0418,1,1
29,F,Aktobe,81853.86,self_employed,6,359189.08,17,31.56,206519.88,2.523,0,1,1,consumer,0,26475.04,0.3234,4.0588,1,1
27,M,Mangystau,99524.52,employed,0,637907.31,37,33.23,431901.8,4.3396,2,1,1,consumer,0,27773.75,0.2791,6.5829,1,1
45,M,Karaganda,83819.82,employed,20,829688.88,53,9.77,608824.06,7.2634,0,1,1,consumer,0,19336.85,0.2307,10.7278,1,0
49,F,Karaganda,213613.28,employed,21,2398196.95,54,11.91,1932799.83,9.0481,1,2,0,consumer,0,57584.97,0.2696,12.9775,1,0
47,F,Almaty,78545.46,employed,27,1114307.72,69,7.18,433343.35,5.517,3,1,0,consumer,0,19759.35,0.2516,10.4823,1,0
23,M,Karaganda,196343.48,employed,2,1300848.53,67,30.49,1060308.95,5.4002,0,0,0,consumer,0,40613.43,0.2068,7.7191,0,1
44,F,Mangystau,101894.88,employed,22,751966.27,41,16.4,342338.46,3.3597,0,0,0,consumer,0,24078.3,0.2363,5.9426,0,0
43,M,Almaty Region,193566.09,employed,16,3173266.59,66,9.89,2727124.59,14.0888,3,1,2,auto,0,62529.06,0.323,19.8266,1,0
34,M,West Kazakhstan,163370.59,employed,15,1609794.64,53,27.66,600637.72,3.6765,3,0,0,consumer,0,52921.98,0.3239,7.1253,0,1
41,F,Karaganda,218484.83,unemployed,14,2492208.62,44,18.28,1837650.53,8.4108,0,0,0,consumer,0,78142.94,0.3577,12.4032,0,1
27,M,Akmola,474540.56,employed,4,2530277.93,22,23.22,1376573.04,2.9008,1,0,2,consumer,0,142317.49,0.2999,4.7671,0,1
32,F,East Kazakhstan,115023.8,employed,6,651411.31,19,13.49,407632.1,3.5439,4,0,2,consumer,0,38268.15,0.3327,5.526,0,0
34,F,Almaty,312709.85,self_employed,9,1731689.71,24,28.36,616303.28,1.9708,4,1,0,consumer,0,95367.81,0.305,3.909,1,1
49,F,Almaty Region,122283.62,retired,30,449651.47,16,26.53,132843.44,1.0863,1,2,0,consumer,0,33672.52,0.2754,2.3733,1,1
35,F,Shymkent,334798.48,employed,5,4132984.94,58,13.81,3522421.07,10.521,1,0,2,auto,0,98060.95,0.2929,14.8416,0,0
36,M,Kyzylorda,549770.16,employed,12,2362822.39,26,34.09,1743268.96,3.1709,0,0,0,consumer,0,129762.92,0.236,4.6751,0,1
31,M,Nur-Sultan,107247.88,employed,10,678302.88,29,26.87,498165.0,4.6449,3,0,2,consumer,0,32052.11,0.2989,6.8585,0,1
39,F,West Kazakhstan,167461.36,employed,20,1388988.15,59,20.54,157959.27,0.9433,1,2,0,consumer,1,37582.01,0.2244,3.8463,1,1
18,F,Almaty Region,129447.09,employed,0,1169340.88,67,24.98,666299.83,5.1472,1,2,0,consumer,0,32519.81,0.2512,8.3089,1,1
38,F,Mangystau,339724.96,employed,13,3530910.16,34,28.03,2063093.23,6.0728,0,2,0,consumer,0,151637.64,0.4464,9.7105,1,1
43,M,Almaty Region,327288.66,self_employed,17,2276838.12,18,27.57,1228747.24,3.7543,1,0,0,consumer,0,155871.15,0.4762,6.1891,0,1
44,M,East Kazakhstan,112277.14,employed,21,1422957.32,70,14.35,990306.95,8.8201,3,2,2,consumer,0,30123.92,0.2683,13.2558,1,0
18,F,Nur-Sultan,518595.88,employed,1,3711019.11,22,8.8,2542229.78,4.9021,4,0,2,consumer,0,183271.89,0.3534,7.4067,0,0
47,F,East Kazakhstan,80405.86,self_employed,23,609513.64,52,34.89,118727.95,1.4766,3,0,1,consumer,0,22875.35,0.2845,4.1297,0,1
39,F,Shymkent,361305.0,employed,14,5202844.42,42,18.41,3710998.13,10.2711,4,0,2,consumer,0,168960.0,0.4676,15.3111,0,1
40,F,Almaty,211411.83,employed,14,2797644.8,48,19.67,1021529.6,4.8319,2,1,0,consumer,0,84642.23,0.4004,9.4635,1,1
50,F,Mangystau,82814.51,employed,25,357385.57,25,30.06,120407.47,1.4539,3,1,1,consumer,0,19408.53,0.2344,2.9643,1,1
36,M,Nur-Sultan,97971.14,employed,13,1196911.77,72,27.06,285016.69,2.9092,3,0,2,consumer,0,33770.72,0.3447,7.1851,0,1
35,F,Zhambyl,154107.26,employed,12,1206904.18,50,14.18,1043738.25,6.7728,0,2,0,consumer,0,32105.3,0.2083,9.5138,1,0
47,M,Almaty,79504.51,student,26,297540.03,62,37.87,140838.24,1.7714,3,5,117,consumer,0,10990.98,0.1382,3.0813,1,1
31,M,Almaty,314973.57,retired,8,3769469.23,52,28.6,3487493.02,11.0723,2,9,317,auto,0,127217.91,0.4039,15.2609,1,1
28,M,Karaganda,399175.38,employed,4,3969736.17,35,15.24,2367530.11,5.931,5,0,0,consumer,0,141197.28,0.3537,9.4117,0,0
39,F,Turkistan,80814.76,employed,16,502612.27,66,19.66,155023.56,1.9182,3,0,2,consumer,0,12517.03,0.1549,4.095,0,1
54,F,Almaty,84862.99,self_employed,30,188615.21,23,23.15,134943.67,1.5901,2,1,2,consumer,0,10231.7,0.1206,2.368,1,1
35,M,North Kazakhstan,77837.72,employed,8,368245.83,69,27.47,73268.8,0.9413,0,2,0,consumer,1,10667.55,0.137,2.5971,1,1
38,F,Kostanay,79761.31,employed,15,206786.19,19,31.41,112339.82,1.4084,3,2,0,consumer,0,13952.17,0.1749,2.3158,1,1
45,M,Zhambyl,187542.99,employed,21,2069652.14,34,29.72,1563690.5,8.3377,2,0,0,consumer,0,90764.83,0.484,12.2002,0,1
51,F,Karaganda,353276.94,employed,29,2097909.61,65,43.32,1613722.57,4.5679,1,2,0,consumer,0,84125.65,0.2381,6.6463,1,1
43,M,Turkistan,90250.58,employed,16,1845449.53,69,15.12,1537600.47,17.0368,3,2,2,auto,0,40193.79,0.4454,24.1936,1,0
35,F,Aktobe,79563.78,self_employed,15,478792.72,53,20.08,94750.72,1.1909,0,0,0,consumer,0,13694.88,0.1721,3.297,0,1
23,F,Karaganda,420942.22,self_employed,3,3357722.29,26,26.19,1505991.62,3.5777,4,1,0,consumer,0,170598.71,0.4053,6.3695,1,1
48,F,Kyzylorda,81432.06,employed,27,216936.01,73,36.98,167140.69,2.0525,3,0,0,consumer,0,7503.78,0.0921,2.9849,0,1
37,M,Karaganda,198617.88,employed,9,1301506.93,26,17.95,913089.33,4.5972,0,0,0,consumer,1,60790.35,0.3061,6.8907,0,0
32,F,East Kazakhstan,420792.95,self_employed,5,1399998.46,11,28.04,670268.72,1.5929,0,0,0,consumer,0,145802.38,0.3465,2.7573,0,1
38,M,Almaty Region,81550.42,employed,11,227597.95,50,30.73,94443.92,1.1581,2,2,2,consumer,0,8122.51,0.0996,2.1349,1,1
47,F,Zhambyl,80401.93,retired,23,239830.93,44,38.57,122020.43,1.5176,3,0,0,consumer,0,10258.7,0.1276,2.5616,0,1
38,M,Kostanay,96320.72,employed,14,1271977.07,29,5.0,281599.65,2.9235,1,0,0,consumer,0,46655.79,0.4844,7.5455,0,0
43,M,Almaty,747323.05,unemployed,17,5025792.26,39,30.48,2619336.19,3.505,2,2,0,consumer,0,204567.84,0.2737,5.8587,1,1
32,M,Shymkent,348539.11,employed,9,783152.09,13,11.65,594324.97,1.7052,0,0,0,consumer,0,64415.53,0.1848,2.4916,0,0
29,M,Almaty,148521.92,self_employed,9,1330968.8,66,22.06,734129.45,4.9429,1,0,2,consumer,0,34979.14,0.2355,8.0793,0,1
37,M,Almaty Region,118699.22,employed,8,1144278.97,59,21.76,621578.19,5.2365,1,4,137,consumer,0,31744.58,0.2674,8.6106,1,1
40,M,Atyrau,80520.27,employed,20,427717.14,29,14.66,174552.72,2.1678,4,10,320,consumer,0,17604.43,0.2186,4.0269,1,0
20,M,East Kazakhstan,77216.7,unemployed,1,943138.15,63,10.72,678798.96,8.7907,0,1,0,consumer,0,19641.25,0.2544,13.0656,1,0
33,F,Almaty,145654.84,employed,9,2123411.23,69,5.33,996374.85,6.8406,0,0,0,consumer,0,35798.08,0.2458,11.943,0,0
35,F,East Kazakhstan,118756.7,employed,7,694109.08,17,12.88,427058.46,3.596,3,1,0,consumer,0,44886.35,0.378,5.6417,1,0
19,F,Nur-Sultan,366242.98,employed,0,3677086.71,52,10.31,3329292.48,9.0904,3,0,0,auto,0,87980.03,0.2402,12.6044,0,0
39,F,Nur-Sultan,109621.87,employed,17,1414829.44,52,5.26,176140.19,1.6068,2,0,1,consumer,0,30486.12,0.2781,6.124,0,0
38,M,Shymkent,136694.54,retired,13,506122.12,19,45.63,176090.93,1.2882,3,2,0,consumer,0,37891.74,0.2772,2.5841,1,1
40,M,Karaganda,100536.2,employed,17,1560916.11,72,12.05,698181.37,6.9445,0,1,0,consumer,0,30556.81,0.3039,12.3785,1,0
49,M,Kyzylorda,76979.29,retired,25,53794.95,60,38.41,18492.02,0.2402,0,2,0,consumer,0,2028.16,0.0263,0.4848,1,1
43,F,Karaganda,128300.59,employed,14,1343728.15,58,28.99,421681.29,3.2866,1,0,0,consumer,0,43308.53,0.3376,6.9523,0,1
36,F,Karaganda,789774.02,employed,9,3158511.8,21,16.7,1879473.03,2.3798,1,9,318,consumer,0,174489.1,0.2209,3.7795,1,0
24,F,Kyzylorda,79252.49,employed,0,719828.7,54,18.61,537089.83,6.7769,2,0,1,consumer,0,19779.26,0.2496,9.9558,0,1
49,M,Almaty,249674.81,employed,24,3610347.11,59,13.77,3372699.56,13.5083,0,0,1,auto,0,84563.8,0.3387,18.5694,0,0
57,F,Almaty,95054.86,employed,35,960584.43,56,31.19,246312.84,2.5912,1,2,1,consumer,1,32750.48,0.3445,6.1282,1,1
41,M,Aktobe,134353.33,employed,16,839085.47,19,22.01,736235.71,5.4798,0,2,0,consumer,0,52703.31,0.3923,7.6657,1,1
19,M,Zhambyl,1212935.76,employed,0,5289246.03,16,7.34,511372.83,0.4216,1,1,2,consumer,0,348027.15,0.2869,1.9478,1,0
49,F,Pavlodar,83947.14,unemployed,25,627936.49,48,23.07,349222.6,4.16,2,0,2,consumer,0,20150.38,0.24,6.778,0,1
65,M,Akmola,306822.27,employed,38,1525979.29,43,35.93,884633.44,2.8832,0,0,2,consumer,0,63567.17,0.2072,4.6239,0,1
40,M,Almaty Region,112990.09,employed,15,1541945.62,66,4.91,1149492.47,10.1733,1,1,2,consumer,0,26706.66,0.2364,14.9496,1,0
52,F,Pavlodar,282833.58,employed,27,2459148.38,53,29.34,1840691.94,6.508,0,0,2,consumer,0,83273.16,0.2944,9.5511,0,1
39,F,East Kazakhstan,699918.39,employed,10,5925353.2,22,31.57,2454439.78,3.5067,3,0,0,consumer,0,358186.29,0.5118,6.4698,0,1
38,F,Karaganda,162141.42,employed,15,1514416.34,55,19.44,550617.79,3.3959,0,0,0,consumer,0,41807.97,0.2578,6.6649,0,1
53,F,Turkistan,79587.76,unemployed,32,241859.4,43,22.61,104950.98,1.3187,0,2,0,consumer,0,8257.56,0.1038,2.3823,1,1
41,F,Karaganda,117444.04,employed,16,2561794.08,59,12.71,370872.13,3.1578,1,1,1,consumer,0,58613.22,0.4991,10.7923,1,0
48,F,West Kazakhstan,99587.53,employed,28,823707.38,47,26.84,363728.49,3.6523,2,0,0,consumer,0,28500.9,0.2862,6.5472,0,1
43,F,Almaty Region,92697.44,employed,19,881068.76,42,14.57,350081.77,3.7766,2,0,1,consumer,0,26903.69,0.2902,7.1032,0,0
20,F,North Kazakhstan,78832.84,employed,0,261333.82,34,24.88,120065.95,1.523,2,2,1,consumer,0,10787.37,0.1368,2.6833,1,1
47,M,West Kazakhstan,319548.61,employed,19,2653887.68,29,30.42,392280.74,1.2276,2,0,0,consumer,0,130341.3,0.4079,4.1344,0,1
26,M,Karaganda,90360.77,employed,0,492558.06,33,16.53,175003.54,1.9367,0,0,0,consumer,0,18675.47,0.2067,3.8445,0,0
48,M,North Kazakhstan,425397.79,employed,23,1867965.89,32,34.11,1474705.4,3.4666,3,1,2,consumer,0,89664.56,0.2108,5.0035,1,1
26,M,Almaty,102898.33,employed,2,1273989.8,71,5.55,599678.92,5.8278,3,11,281,consumer,0,21091.66,0.205,10.1611,1,0
40,M,Almaty,148513.22,employed,16,946665.55,37,29.64,470697.12,3.1694,2,0,0,consumer,0,39327.28,0.2648,5.4004,0,1
31,F,Karaganda,182088.49,student,11,656173.01,17,35.81,265115.43,1.456,0,1,0,consumer,0,49774.48,0.2734,2.7172,1,1
42,M,Aktobe,473406.39,employed,18,1851301.06,21,23.99,1483354.23,3.1334,0,0,0,consumer,1,108819.17,0.2299,4.5021,0,1
38,F,Almaty,78705.42,employed,12,126976.44,32,20.27,42009.92,0.5338,2,0,1,consumer,0,5169.21,0.0657,1.0984,0,1
