loan_id,origination_date,region,currency,loan_type,loan_reason,gender,citizenship,interest_rate_pct,credit_amount_kzt,age,days_past_due,npl_90plus
KZ2026000027,2020-03-02,Atyrau,KZT,Personal loan,Consumer credit,Female,Local,24.0,552000,51,311,1
KZ2026000028,2019-06-21,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,22.9,957000,44,0,0
KZ2026000029,2019-12-12,Almaty,KZT,Credit card,Consumer credit,Male,Local,40.1,648000,51,0,0
KZ2026000030,2020-12-26,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,15.3,503000,43,0,0
KZ2026000031,2019-03-29,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,21.2,1434000,40,0,0
KZ2026000032,2019-05-26,Shymkent,KZT,Personal loan,Auto loan,Female,Local,14.4,3901000,49,0,0
KZ2026000033,2020-06-01,Aktobe,KZT,Personal loan,Consumer credit,Female,Local,7.5,629000,64,0,0
KZ2026000034,2020-12-06,Almaty Region,KZT,Personal loan,Consumer credit,Male,Local,30.6,935000,34,0,0
KZ2026000035,2021-05-10,Atyrau,USD,Credit card,Consumer credit,Male,Local,35.7,177000,46,0,0
KZ2026000036,2020-06-02,Almaty,KZT,Credit card,Consumer credit,Female,Local,40.1,126000,37,0,0
KZ2026000037,2020-08-03,Almaty,KZT,Credit card,Auto loan,Male,Local,17.2,6481000,43,0,0
KZ2026000038,2019-09-13,Atyrau,KZT,Personal loan,Consumer credit,Female,Local,23.0,1110000,37,0,0
KZ2026000039,2019-12-28,Almaty,KZT,Personal loan,Consumer credit,Female,Local,21.8,738000,18,0,0
KZ2026000040,2019-10-05,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,23.0,3218000,35,298,1
KZ2026000041,2019-04-07,Almaty Region,KZT,Personal loan,Consumer credit,Male,Local,23.9,499000,48,0,0
KZ2026000042,2019-11-24,Pavlodar,KZT,Personal loan,Consumer credit,Female,Local,22.3,636000,29,0,0
KZ2026000043,2019-07-12,Kostanay,KZT,Personal loan,Consumer credit,Female,Local,20.0,253000,47,0,0
KZ2026000044,2020-06-05,Akmola,KZT,Credit card,Consumer credit,Male,Local,30.0,935000,71,0,0
KZ2026000045,2020-10-27,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,34.1,5896000,35,0,0
KZ2026000046,2021-05-15,Pavlodar,USD,Personal loan,Consumer credit,Female,Local,12.0,447000,47,0,0
KZ2026000047,2021-02-16,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,17.0,1273000,44,0,0
KZ2026000048,2019-10-09,Akmola,KZT,Personal loan,Consumer credit,Male,Local,25.1,774000,42,0,0
KZ2026000049,2021-04-08,Karaganda,KZT,Personal loan,Auto loan,Female,Local,19.5,3944000,48,0,0
KZ2026000050,2021-04-11,Almaty,KZT,Personal loan,Consumer credit,Female,Foreigner,23.2,1086000,39,0,0
KZ2026000051,2020-03-20,Almaty,KZT,Personal loan,Consumer credit,Male,Local,27.4,1697000,19,0,0
KZ2026000052,2019-07-01,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,21.3,530000,33,0,0
KZ2026000053,2020-11-17,Mangystau,KZT,Credit card,Auto loan,Male,Local,41.0,4362000,18,0,0
KZ2026000054,2019-04-10,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,14.1,465000,44,0,0
KZ2026000055,2019-11-15,Kostanay,KZT,Personal loan,Consumer credit,Female,Local,17.8,846000,47,0,0
KZ2026000056,2020-04-14,Mangystau,KZT,Personal loan,Auto loan,Female,Local,19.9,1831000,47,0,0
KZ2026000057,2021-02-01,Atyrau,KZT,Personal loan,Consumer credit,Male,Local,30.1,851000,42,0,0
KZ2026000058,2021-05-12,Zhambyl,KZT,Personal loan,Auto loan,Female,Local,18.1,3091000,48,0,0
KZ2026000059,2020-12-23,Almaty,KZT,Personal loan,Consumer credit,Male,Local,21.1,2676000,20,0,0
KZ2026000060,2020-03-04,Almaty,KZT,Credit card,Consumer credit,Male,Local,29.4,335000,73,0,0
KZ2026000061,2019-03-16,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,32.8,1332000,21,0,0
KZ2026000062,2020-12-07,Atyrau,KZT,Personal loan,Auto loan,Female,Foreigner,20.0,3960000,33,0,0
KZ2026000063,2021-01-26,Zhambyl,KZT,Personal loan,Consumer credit,Female,Local,15.3,196000,55,0,0
KZ2026000064,2020-02-22,Kyzylorda,KZT,Personal loan,Consumer credit,Female,Local,37.2,220000,49,0,0
KZ2026000065,2020-05-04,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,16.4,915000,44,0,0
KZ2026000066,2021-01-20,Zhambyl,KZT,Credit card,Consumer credit,Male,Local,33.4,431000,35,0,0
KZ2026000067,2019-04-27,Zhambyl,KZT,Personal loan,Consumer credit,Male,Local,35.0,983000,26,0,0
KZ2026000068,2020-12-18,Akmola,KZT,Personal loan,Consumer credit,Female,Local,28.0,576000,39,0,0
KZ2026000069,2020-03-28,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,16.0,978000,49,0,0
KZ2026000070,2020-08-28,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,13.7,909000,42,0,0
KZ2026000071,2019-06-18,Almaty,KZT,Credit card,Consumer credit,Female,Local,46.0,628000,20,193,1
KZ2026000072,2020-06-27,Almaty Region,USD,Personal loan,Consumer credit,Male,Local,5.3,2664000,38,0,0
KZ2026000073,2019-08-25,North Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,26.1,1150000,18,0,0
KZ2026000074,2020-04-02,Almaty,KZT,Personal loan,Consumer credit,Male,Local,20.6,1518000,46,0,0
KZ2026000075,2020-04-08,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,27.7,1722000,29,0,0
KZ2026000076,2021-04-24,Akmola,KZT,Personal loan,Consumer credit,Female,Local,8.8,4889000,24,0,0
KZ2026000077,2020-08-14,Akmola,KZT,Personal loan,Consumer credit,Male,Local,20.8,1172000,46,0,0
KZ2026000078,2020-05-07,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,28.3,3241000,43,0,0
KZ2026000079,2019-12-21,Zhambyl,KZT,Personal loan,Consumer credit,Male,Local,29.3,448000,40,0,0
KZ2026000080,2019-10-25,Mangystau,KZT,Credit card,Consumer credit,Male,Local,27.0,217000,61,0,0
KZ2026000081,2020-07-29,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,14.5,195000,44,0,0
KZ2026000082,2021-02-17,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,24.6,1365000,30,0,0
KZ2026000083,2020-05-20,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,10.6,2081000,43,0,0
KZ2026000084,2020-08-05,Almaty,KZT,Personal loan,Consumer credit,Female,Local,35.4,137000,34,0,0
KZ2026000085,2019-10-17,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,24.0,1408000,51,0,0
KZ2026000086,2020-05-07,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,16.2,2006000,40,0,0
KZ2026000087,2020-05-19,Kostanay,KZT,Personal loan,Consumer credit,Female,Local,13.0,1911000,41,0,0
KZ2026000088,2020-08-25,Atyrau,KZT,Personal loan,Consumer credit,Male,Local,17.5,434000,21,0,0
KZ2026000089,2019-10-07,Almaty,KZT,Personal loan,Consumer credit,Male,Local,8.3,2315000,38,0,0
KZ2026000090,2019-11-05,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,27.2,1210000,36,336,1
KZ2026000091,2019-11-14,Almaty,KZT,Personal loan,Consumer credit,Male,Local,15.2,1983000,26,0,0
KZ2026000092,2020-01-07,Kostanay,KZT,Personal loan,Consumer credit,Male,Local,26.4,1078000,35,0,0
KZ2026000093,2019-09-15,Atyrau,KZT,Personal loan,Consumer credit,Male,Local,27.4,1659000,42,0,0
KZ2026000094,2019-06-22,Almaty Region,USD,Personal loan,Consumer credit,Male,Local,27.0,4057000,37,0,0
KZ2026000095,2020-03-17,Akmola,KZT,Credit card,Consumer credit,Male,Local,40.2,433000,21,213,1
KZ2026000096,2021-01-24,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,34.6,3472000,34,0,0
KZ2026000097,2019-01-29,Aktobe,KZT,Personal loan,Consumer credit,Male,Local,25.1,1072000,32,0,0
KZ2026000098,2020-08-10,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,26.1,461000,39,0,0
KZ2026000099,2020-12-21,Almaty,KZT,Personal loan,Consumer credit,Female,Local,17.4,2132000,38,0,0
KZ2026000100,2020-12-28,Shymkent,KZT,Personal loan,Auto loan,Female,Local,9.8,7629000,32,0,0
KZ2026000101,2021-01-22,Turkistan,RUB,Personal loan,Consumer credit,Male,Local,33.6,4258000,32,0,0
KZ2026000102,2019-10-08,Kostanay,KZT,Personal loan,Consumer credit,Male,Local,29.2,164000,38,0,0
KZ2026000103,2019-03-31,Almaty,RUB,Credit card,Consumer credit,Male,Local,36.9,297000,48,0,0
KZ2026000104,2021-05-28,Shymkent,KZT,Credit card,Consumer credit,Female,Local,26.6,362000,40,0,0
KZ2026000105,2020-09-10,Mangystau,KZT,Personal loan,Consumer credit,Female,Local,36.6,5040000,53,0,0
KZ2026000106,2019-11-12,Kostanay,KZT,Credit card,Consumer credit,Female,Local,29.9,156000,49,201,1
KZ2026000107,2021-01-22,Atyrau,KZT,Credit card,Consumer credit,Female,Local,24.1,1881000,53,0,0
KZ2026000108,2019-11-09,Akmola,KZT,Personal loan,Consumer credit,Male,Local,17.7,867000,52,0,0
KZ2026000109,2020-10-23,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,37.2,625000,54,0,0
KZ2026000110,2021-04-28,Turkistan,RUB,Personal loan,Consumer credit,Male,Local,12.0,4335000,24,0,0
KZ2026000111,2020-11-09,Atyrau,KZT,Personal loan,Auto loan,Male,Local,11.4,5359000,44,0,0
KZ2026000112,2020-08-01,Almaty,KZT,Personal loan,Consumer credit,Male,Local,49.1,624000,50,0,0
KZ2026000113,2019-06-18,Akmola,KZT,Personal loan,Consumer credit,Female,Foreigner,33.8,1839000,52,0,0
KZ2026000114,2021-04-04,West Kazakhstan,KZT,Credit card,Consumer credit,Male,Local,23.1,161000,29,0,0
KZ2026000115,2020-01-11,Almaty,KZT,Personal loan,Consumer credit,Female,Local,8.0,609000,44,0,0
KZ2026000116,2020-07-04,North Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,23.6,1107000,18,0,0
KZ2026000117,2020-06-24,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,29.6,598000,57,0,0
KZ2026000118,2019-08-06,Kostanay,KZT,Personal loan,Consumer credit,Female,Local,35.9,2936000,22,0,0
KZ2026000119,2020-06-16,Almaty Region,KZT,Credit card,Consumer credit,Male,Local,16.4,227000,29,0,0
KZ2026000120,2019-12-12,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,10.9,995000,18,0,0
KZ2026000121,2019-11-05,West Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,22.0,568000,39,0,0
KZ2026000122,2021-01-28,Karaganda,KZT,Personal loan,Auto loan,Female,Local,32.6,6380000,62,0,0
KZ2026000123,2020-09-29,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,31.0,681000,37,0,0
KZ2026000124,2020-03-08,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,25.6,3168000,38,0,0
KZ2026000125,2019-01-17,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,11.2,2976000,43,0,0
KZ2026000126,2020-09-18,East Kazakhstan,KZT,Personal loan,Auto loan,Female,Local,3.5,3273000,36,0,0
KZ2026000127,2020-10-13,Aktobe,KZT,Personal loan,Consumer credit,Male,Local,23.0,1231000,41,0,0
KZ2026000128,2019-05-28,Almaty,KZT,Personal loan,Consumer credit,Female,Local,22.0,802000,41,0,0
KZ2026000129,2020-10-30,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,20.1,1908000,28,0,0
KZ2026000130,2019-12-19,West Kazakhstan,RUB,Personal loan,Consumer credit,Female,Local,19.2,1529000,36,0,0
KZ2026000131,2020-10-08,Almaty,KZT,Personal loan,Consumer credit,Female,Local,15.9,1248000,45,0,0
KZ2026000132,2021-01-11,Turkistan,KZT,Personal loan,Consumer credit,Male,Local,14.6,313000,47,0,0
KZ2026000133,2020-09-10,West Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,35.2,1125000,51,0,0
KZ2026000134,2021-04-10,Aktobe,KZT,Personal loan,Consumer credit,Female,Local,14.4,2084000,41,0,0
KZ2026000135,2019-03-09,West Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,20.2,1349000,41,331,1
KZ2026000136,2019-10-14,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,21.9,2695000,45,0,0
KZ2026000137,2019-02-22,Shymkent,KZT,Credit card,Consumer credit,Male,Local,37.1,264000,30,0,0
KZ2026000138,2019-06-02,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,15.2,812000,30,0,0
KZ2026000139,2019-11-26,Mangystau,KZT,Personal loan,Consumer credit,Female,Local,32.0,464000,36,0,0
KZ2026000140,2019-01-21,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,17.7,850000,23,0,0
KZ2026000141,2019-12-16,East Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,20.4,6381000,41,0,0
KZ2026000142,2019-04-23,East Kazakhstan,KZT,Personal loan,Auto loan,Female,Local,25.9,4528000,49,0,0
KZ2026000143,2019-04-11,Shymkent,EUR,Personal loan,Consumer credit,Female,Local,9.3,1297000,29,0,0
KZ2026000144,2021-01-07,West Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,32.5,308000,42,0,0
KZ2026000145,2020-10-19,Atyrau,KZT,Personal loan,Consumer credit,Male,Local,25.9,592000,30,0,0
KZ2026000146,2020-02-07,Akmola,KZT,Personal loan,Consumer credit,Male,Local,21.3,2288000,26,0,0
KZ2026000147,2020-05-15,Aktobe,KZT,Personal loan,Consumer credit,Male,Local,42.0,835000,60,0,0
KZ2026000148,2019-09-15,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,23.0,531000,26,0,0
KZ2026000149,2020-03-04,Atyrau,KZT,Credit card,Consumer credit,Male,Local,33.3,185000,23,0,0
KZ2026000150,2020-11-15,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,19.4,2084000,39,0,0
KZ2026000151,2020-04-05,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,24.1,1120000,40,0,0
KZ2026000152,2020-12-01,Turkistan,KZT,Personal loan,Consumer credit,Female,Foreigner,33.8,704000,44,0,0
KZ2026000153,2020-03-04,Almaty,KZT,Personal loan,Consumer credit,Female,Local,3.9,923000,59,0,0
KZ2026000154,2019-11-16,Zhambyl,KZT,Personal loan,Auto loan,Female,Local,18.6,10793000,28,0,0
KZ2026000155,2021-03-01,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,12.5,3384000,31,0,0
KZ2026000156,2021-03-06,Karaganda,KZT,Personal loan,Auto loan,Male,Local,20.2,7746000,55,0,0
KZ2026000157,2019-07-21,Akmola,KZT,Personal loan,Consumer credit,Female,Local,23.5,271000,71,0,0
KZ2026000158,2020-02-13,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,31.3,1055000,46,0,0
KZ2026000159,2020-11-13,Kostanay,KZT,Personal loan,Consumer credit,Male,Local,14.5,694000,31,0,0
KZ2026000160,2019-08-19,Kyzylorda,KZT,Credit card,Consumer credit,Female,Local,26.9,526000,49,217,1
KZ2026000161,2020-10-23,Nur-Sultan,USD,Personal loan,Consumer credit,Male,Local,13.5,4636000,46,0,0
KZ2026000162,2021-03-05,Turkistan,USD,Personal loan,Consumer credit,Female,Local,27.6,815000,39,0,0
KZ2026000163,2019-07-28,Almaty,KZT,Personal loan,Consumer credit,Male,Local,32.3,2034000,31,0,0
KZ2026000164,2019-05-16,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,26.2,2213000,38,0,0
KZ2026000165,2021-04-14,Zhambyl,KZT,Credit card,Consumer credit,Male,Local,29.7,389000,55,129,1
KZ2026000166,2021-05-29,Almaty Region,KZT,Personal loan,Consumer credit,Male,Local,25.8,1340000,25,0,0
KZ2026000167,2021-01-28,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,25.5,1252000,28,0,0
KZ2026000168,2020-06-25,Pavlodar,KZT,Personal loan,Consumer credit,Female,Local,19.0,1508000,30,0,0
KZ2026000169,2019-03-17,Aktobe,KZT,Personal loan,Consumer credit,Male,Local,25.1,2205000,32,160,1
KZ2026000170,2021-03-19,Shymkent,KZT,Personal loan,Consumer credit,Female,Local,29.0,2050000,37,0,0
KZ2026000171,2019-06-25,Akmola,USD,Credit card,Consumer credit,Female,Local,19.8,614000,48,0,0
KZ2026000172,2019-06-07,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,0.0,1114000,42,0,0
KZ2026000173,2020-09-25,Almaty,KZT,Personal loan,Consumer credit,Male,Local,5.7,618000,38,0,0
KZ2026000174,2019-12-10,Shymkent,USD,Personal loan,Consumer credit,Female,Local,24.5,816000,40,0,0
KZ2026000175,2021-02-05,Almaty,KZT,Personal loan,Auto loan,Female,Local,11.1,2902000,44,0,0
KZ2026000176,2021-02-10,Nur-Sultan,KZT,Credit card,Auto loan,Male,Local,29.5,5769000,19,0,0
KZ2026000177,2020-12-12,Almaty Region,KZT,Personal loan,Consumer credit,Male,Local,19.2,1149000,49,283,1
KZ2026000178,2021-01-09,Shymkent,KZT,Personal loan,Consumer credit,Female,Local,13.4,2408000,28,0,0
KZ2026000179,2020-04-27,Turkistan,KZT,Personal loan,Consumer credit,Male,Local,7.7,2062000,32,0,0
KZ2026000180,2021-02-08,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,4.6,2457000,41,107,1
KZ2026000181,2021-03-19,Turkistan,RUB,Personal loan,Consumer credit,Male,Local,29.3,1403000,36,0,0
KZ2026000182,2019-09-05,Turkistan,KZT,Personal loan,Consumer credit,Female,Local,18.6,2247000,42,0,0
KZ2026000183,2020-01-11,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,32.1,321000,39,0,0
KZ2026000184,2020-06-29,Aktobe,KZT,Personal loan,Auto loan,Female,Local,13.1,8603000,34,0,0
KZ2026000185,2021-01-28,Mangystau,KZT,Personal loan,Consumer credit,Female,Foreigner,28.2,8235000,54,169,1
KZ2026000186,2019-12-11,Karaganda,KZT,Personal loan,Auto loan,Male,Local,16.1,6126000,45,0,0
KZ2026000187,2019-08-18,Almaty Region,KZT,Personal loan,Consumer credit,Male,Local,23.2,2381000,40,0,0
KZ2026000188,2019-10-11,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,18.4,1979000,45,0,0
KZ2026000189,2020-12-07,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,11.8,912000,90,0,0
KZ2026000190,2020-04-04,Almaty,KZT,Personal loan,Consumer credit,Male,Local,29.6,1093000,61,0,0
KZ2026000191,2019-08-14,Shymkent,KZT,Credit card,Consumer credit,Female,Local,43.7,721000,25,0,0
KZ2026000192,2020-09-23,Almaty,KZT,Personal loan,Consumer credit,Male,Local,38.1,525000,38,0,0
KZ2026000193,2020-08-05,Almaty,KZT,Personal loan,Consumer credit,Male,Local,18.2,487000,34,0,0
KZ2026000194,2020-04-02,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,16.3,856000,33,0,0
KZ2026000195,2020-07-01,Almaty,KZT,Personal loan,Consumer credit,Male,Local,17.4,2096000,32,0,0
KZ2026000196,2019-07-23,Almaty,KZT,Personal loan,Consumer credit,Male,Local,21.5,575000,29,0,0
KZ2026000197,2019-06-11,West Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,22.3,991000,50,0,0
KZ2026000198,2020-12-14,North Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,13.8,1096000,24,0,0
KZ2026000199,2020-08-23,Almaty,KZT,Personal loan,Consumer credit,Female,Local,9.8,508000,48,0,0
KZ2026000200,2021-05-13,Akmola,KZT,Credit card,Consumer credit,Female,Local,32.4,56000,44,0,0
KZ2026000201,2021-04-09,Mangystau,KZT,Personal loan,Consumer credit,Female,Local,0.0,501000,33,351,1
KZ2026000202,2019-11-17,Shymkent,KZT,Personal loan,Auto loan,Female,Local,15.4,4498000,43,0,0
KZ2026000203,2020-02-13,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,14.0,1814000,35,0,0
KZ2026000204,2021-01-19,Almaty,KZT,Personal loan,Consumer credit,Female,Local,29.5,1827000,25,0,0
KZ2026000205,2019-01-03,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,31.9,2015000,25,0,0
KZ2026000206,2021-02-01,Almaty,KZT,Personal loan,Consumer credit,Female,Local,32.6,705000,44,0,0
KZ2026000207,2019-05-29,Almaty,KZT,Personal loan,Consumer credit,Male,Local,20.0,587000,44,0,0
KZ2026000208,2019-08-19,Karaganda,KZT,Personal loan,Consumer credit,Male,Local,12.3,1651000,40,0,0
KZ2026000209,2020-03-01,Almaty,KZT,Personal loan,Consumer credit,Male,Local,15.5,1002000,33,0,0
KZ2026000210,2020-09-14,East Kazakhstan,KZT,Credit card,Consumer credit,Male,Local,33.3,691000,35,0,0
KZ2026000211,2019-11-09,Kostanay,KZT,Personal loan,Auto loan,Female,Local,6.1,4749000,33,0,0
KZ2026000212,2021-04-08,West Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,34.7,3574000,18,0,0
KZ2026000213,2020-11-22,Almaty,KZT,Personal loan,Consumer credit,Female,Local,19.9,808000,38,0,0
KZ2026000214,2020-10-15,Pavlodar,KZT,Personal loan,Consumer credit,Female,Local,26.7,2973000,43,0,0
KZ2026000215,2020-11-13,Kostanay,KZT,Personal loan,Consumer credit,Male,Local,5.8,6765000,38,209,1
KZ2026000216,2019-01-27,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,14.3,1256000,56,0,0
KZ2026000217,2020-12-27,Almaty,KZT,Personal loan,Auto loan,Male,Local,4.5,5008000,26,0,0
KZ2026000218,2020-06-17,Almaty,KZT,Personal loan,Auto loan,Male,Local,22.4,2632000,30,0,0
KZ2026000219,2019-06-14,Turkistan,KZT,Personal loan,Consumer credit,Female,Local,20.9,2566000,38,255,1
KZ2026000220,2020-11-18,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,27.3,3133000,40,0,0
KZ2026000221,2019-04-04,Akmola,KZT,Personal loan,Auto loan,Female,Local,16.6,3202000,18,0,0
KZ2026000222,2020-06-29,East Kazakhstan,KZT,Personal loan,Consumer credit,Female,Local,26.7,1975000,44,358,1
KZ2026000223,2020-05-17,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,19.5,1523000,40,0,0
KZ2026000224,2019-01-26,Shymkent,KZT,Personal loan,Consumer credit,Female,Local,20.7,1673000,18,0,0
KZ2026000225,2019-11-27,Akmola,KZT,Personal loan,Consumer credit,Male,Local,21.5,2393000,80,0,0
KZ2026000226,2019-04-17,Turkistan,KZT,Personal loan,Consumer credit,Male,Local,26.1,1865000,28,0,0
KZ2026000227,2021-04-15,Nur-Sultan,KZT,Personal loan,Auto loan,Male,Local,18.7,3757000,32,0,0
KZ2026000228,2020-12-08,Zhambyl,KZT,Personal loan,Consumer credit,Male,Local,47.6,2437000,63,0,0
KZ2026000229,2021-05-29,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,37.3,3088000,42,0,0
KZ2026000230,2020-03-06,Nur-Sultan,KZT,Personal loan,Consumer credit,Female,Local,6.9,749000,56,0,0
KZ2026000231,2019-10-18,Almaty,KZT,Credit card,Consumer credit,Male,Local,30.2,350000,40,190,1
KZ2026000232,2021-04-25,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,19.8,267000,18,0,0
KZ2026000233,2019-09-28,Shymkent,KZT,Personal loan,Consumer credit,Male,Local,34.0,1971000,40,0,0
KZ2026000234,2020-01-02,West Kazakhstan,KZT,Personal loan,Auto loan,Male,Local,13.9,6936000,35,0,0
KZ2026000235,2019-04-29,Turkistan,KZT,Personal loan,Consumer credit,Female,Local,27.0,964000,25,156,1
KZ2026000236,2020-12-26,Pavlodar,KZT,Personal loan,Consumer credit,Female,Local,1.6,1344000,41,0,0
KZ2026000237,2019-04-16,Atyrau,RUB,Personal loan,Consumer credit,Female,Local,9.1,1175000,47,0,0
KZ2026000238,2019-02-01,Mangystau,KZT,Personal loan,Consumer credit,Male,Local,41.4,1462000,30,0,0
KZ2026000239,2021-01-05,Nur-Sultan,KZT,Credit card,Consumer credit,Female,Local,32.1,194000,19,0,0
